sitecode,sernum,probsetting,Datet,yearday,Temp,Salinity,depth
CP01,ratu,01,2020-08-16 21:25:05,    228.89,     48.79,99.999,43
CP01,ratu,01,2020-08-16 22:25:05,    228.93,     48.79,99.999,43
CP01,ratu,01,2020-08-16 23:25:05,    228.98,     48.79,99.999,43
CP01,ratu,01,2020-08-17 00:25:05,    229.02,     48.79,99.999,43
CP01,ratu,01,2020-08-17 01:25:05,    229.06,     48.79,99.999,43
CP01,ratu,01,2020-08-17 02:25:05,    229.10,     48.79,99.999,43
CP01,ratu,01,2020-08-17 03:25:05,    229.14,     48.79,99.999,43
CP01,ratu,01,2020-08-17 04:25:05,    229.18,     48.79,99.999,43
CP01,ratu,01,2020-08-17 05:25:05,    229.23,     48.79,99.999,43
CP01,ratu,01,2020-08-17 06:25:05,    229.27,     48.79,99.999,43
CP01,ratu,01,2020-08-17 07:25:05,    229.31,     48.79,99.999,43
CP01,ratu,01,2020-08-17 08:25:05,    229.35,     48.79,99.999,43
CP01,ratu,01,2020-08-17 09:25:05,    229.39,     48.79,99.999,43
CP01,ratu,01,2020-08-17 10:25:05,    229.43,     48.79,99.999,43
CP01,ratu,01,2020-08-17 11:25:05,    229.48,     48.79,99.999,43
CP01,ratu,01,2020-08-17 12:25:05,    229.52,     48.79,99.999,43
CP01,ratu,01,2020-08-17 13:25:05,    229.56,     48.79,99.999,43
CP01,ratu,01,2020-08-17 14:25:05,    229.60,     48.79,99.999,43
CP01,ratu,01,2020-08-17 15:25:05,    229.64,     48.79,99.999,43
CP01,ratu,01,2020-08-17 16:25:05,    229.68,     48.79,99.999,43
CP01,ratu,01,2020-08-17 17:25:05,    229.73,     48.79,99.999,43
CP01,ratu,01,2020-08-17 18:25:05,    229.77,     48.79,99.999,43
CP01,ratu,01,2020-08-17 19:25:05,    229.81,     48.79,99.999,43
CP01,ratu,01,2020-08-17 20:25:05,    229.85,     48.79,99.999,43
CP01,ratu,01,2020-08-17 21:25:05,    229.89,     48.79,99.999,43
CP01,ratu,01,2020-08-17 22:25:05,    229.93,     48.79,99.999,43
CP01,ratu,01,2020-08-17 23:25:05,    229.98,     48.79,99.999,43
CP01,ratu,01,2020-08-18 00:25:05,    230.02,     48.79,99.999,43
CP01,ratu,01,2020-08-18 01:25:05,    230.06,     48.79,99.999,43
CP01,ratu,01,2020-08-18 02:25:05,    230.10,     48.79,99.999,43
CP01,ratu,01,2020-08-18 03:25:05,    230.14,     48.79,99.999,43
CP01,ratu,01,2020-08-18 04:25:05,    230.18,     48.79,99.999,43
CP01,ratu,01,2020-08-18 05:25:05,    230.23,     48.79,99.999,43
CP01,ratu,01,2020-08-18 06:25:05,    230.27,     48.79,99.999,43
CP01,ratu,01,2020-08-18 07:25:05,    230.31,     48.79,99.999,43
CP01,ratu,01,2020-08-18 08:25:05,    230.35,     48.79,99.999,43
CP01,ratu,01,2020-08-18 09:25:05,    230.39,     48.79,99.999,43
CP01,ratu,01,2020-08-18 10:25:05,    230.43,     48.79,99.999,43
CP01,ratu,01,2020-08-18 11:25:05,    230.48,     48.79,99.999,43
CP01,ratu,01,2020-08-18 12:25:05,    230.52,     48.79,99.999,43
CP01,ratu,01,2020-08-18 13:25:05,    230.56,     48.79,99.999,43
CP01,ratu,01,2020-08-18 14:25:05,    230.60,     48.79,99.999,43
CP01,ratu,01,2020-08-18 15:25:05,    230.64,     48.79,99.999,43
CP01,ratu,01,2020-08-18 16:25:05,    230.68,     48.79,99.999,43
CP01,ratu,01,2020-08-18 17:25:05,    230.73,     48.79,99.999,43
CP01,ratu,01,2020-08-18 18:25:05,    230.77,     48.79,99.999,43
CP01,ratu,01,2020-08-18 19:25:05,    230.81,     48.79,99.999,43
CP01,ratu,01,2020-08-18 20:25:05,    230.85,     48.79,99.999,43
CP01,ratu,01,2020-08-18 21:25:05,    230.89,     48.79,99.999,43
CP01,ratu,01,2020-08-18 22:25:05,    230.93,     48.79,99.999,43
CP01,ratu,01,2020-08-18 23:25:05,    230.98,     48.79,99.999,43
CP01,ratu,01,2020-08-19 00:25:05,    231.02,     48.79,99.999,43
CP01,ratu,01,2020-08-19 01:25:05,    231.06,     48.79,99.999,43
CP01,ratu,01,2020-08-19 02:25:05,    231.10,     48.79,99.999,43
CP01,ratu,01,2020-08-19 03:25:05,    231.14,     48.79,99.999,43
CP01,ratu,01,2020-08-19 04:25:05,    231.18,     48.79,99.999,43
CP01,ratu,01,2020-08-19 05:25:05,    231.23,     48.79,99.999,43
CP01,ratu,01,2020-08-19 06:25:05,    231.27,     48.79,99.999,43
CP01,ratu,01,2020-08-19 07:25:05,    231.31,     48.79,99.999,43
CP01,ratu,01,2020-08-19 08:25:05,    231.35,     48.79,99.999,43
CP01,ratu,01,2020-08-19 09:25:05,    231.39,     48.79,99.999,43
CP01,ratu,01,2020-08-19 10:25:05,    231.43,     48.79,99.999,43
CP01,ratu,01,2020-08-19 11:25:05,    231.48,     48.79,99.999,43
CP01,ratu,01,2020-08-19 12:25:05,    231.52,     48.79,99.999,43
CP01,ratu,01,2020-08-19 13:25:05,    231.56,     48.79,99.999,43
CP01,ratu,01,2020-08-19 14:25:05,    231.60,     48.79,99.999,43
CP01,ratu,01,2020-08-19 15:25:05,    231.64,     48.79,99.999,43
CP01,ratu,01,2020-08-19 16:25:05,    231.68,     48.79,99.999,43
CP01,ratu,01,2020-08-19 17:25:05,    231.73,     48.79,99.999,43
CP01,ratu,01,2020-08-19 18:25:05,    231.77,     48.79,99.999,43
CP01,ratu,01,2020-08-19 19:25:05,    231.81,     48.79,99.999,43
CP01,ratu,01,2020-08-19 20:25:05,    231.85,     48.79,99.999,43
CP01,ratu,01,2020-08-19 21:25:05,    231.89,     48.79,99.999,43
CP01,ratu,01,2020-08-19 22:25:05,    231.93,     48.79,99.999,43
CP01,ratu,01,2020-08-19 23:25:05,    231.98,     48.79,99.999,43
CP01,ratu,01,2020-08-20 00:25:05,    232.02,     48.79,99.999,43
CP01,ratu,01,2020-08-20 01:25:05,    232.06,     48.79,99.999,43
CP01,ratu,01,2020-08-20 02:25:05,    232.10,     48.79,99.999,43
