sitecode,sernum,probsetting,Datet,yearday,Temp,Salinity,depth
DB01,4409,01,2020-07-15 15:00:00,    196.62,     49.08,99.999,20
DB01,4409,01,2020-07-15 16:00:00,    196.67,     49.08,99.999,20
DB01,4409,01,2020-07-15 17:00:00,    196.71,     49.08,99.999,20
DB01,4409,01,2020-07-15 18:00:00,    196.75,     49.08,99.999,20
DB01,4409,01,2020-07-15 19:00:00,    196.79,     49.08,99.999,20
DB01,4409,01,2020-07-15 20:00:00,    196.83,     49.08,99.999,20
DB01,4409,01,2020-07-15 21:00:00,    196.88,     49.08,99.999,20
DB01,4409,01,2020-07-15 22:00:00,    196.92,     49.08,99.999,20
DB01,4409,01,2020-07-15 23:00:00,    196.96,     49.08,99.999,20
DB01,4409,01,2020-07-16 00:00:00,    197.00,     49.08,99.999,20
DB01,4409,01,2020-07-16 01:00:00,    197.04,     49.08,99.999,20
DB01,4409,01,2020-07-16 02:00:00,    197.08,     49.08,99.999,20
DB01,4409,01,2020-07-16 03:00:00,    197.12,     49.08,99.999,20
DB01,4409,01,2020-07-16 04:00:00,    197.17,     49.08,99.999,20
DB01,4409,01,2020-07-16 05:00:00,    197.21,     49.08,99.999,20
DB01,4409,01,2020-07-16 06:00:00,    197.25,     49.08,99.999,20
DB01,4409,01,2020-07-16 07:00:00,    197.29,     49.08,99.999,20
DB01,4409,01,2020-07-16 08:00:00,    197.33,     49.08,99.999,20
DB01,4409,01,2020-07-16 09:00:00,    197.38,     49.08,99.999,20
DB01,4409,01,2020-07-16 10:00:00,    197.42,     49.08,99.999,20
DB01,4409,01,2020-07-16 11:00:00,    197.46,     49.08,99.999,20
DB01,4409,01,2020-07-16 12:00:00,    197.50,     49.08,99.999,20
DB01,4409,01,2020-07-16 13:00:00,    197.54,     49.08,99.999,20
DB01,4409,01,2020-07-16 14:00:00,    197.58,     49.08,99.999,20
DB01,4409,01,2020-07-16 15:00:00,    197.62,     49.08,99.999,20
DB01,4409,01,2020-07-16 16:00:00,    197.67,     49.08,99.999,20
DB01,4409,01,2020-07-16 17:00:00,    197.71,     49.08,99.999,20
DB01,4409,01,2020-07-16 18:00:00,    197.75,     49.08,99.999,20
DB01,4409,01,2020-07-16 19:00:00,    197.79,     49.08,99.999,20
DB01,4409,01,2020-07-16 20:00:00,    197.83,     49.08,99.999,20
DB01,4409,01,2020-07-16 21:00:00,    197.88,     49.08,99.999,20
DB01,4409,01,2020-07-16 22:00:00,    197.92,     49.08,99.999,20
DB01,4409,01,2020-07-16 23:00:00,    197.96,     49.08,99.999,20
DB01,4409,01,2020-07-17 00:00:00,    198.00,     49.08,99.999,20
DB01,4409,01,2020-07-17 01:00:00,    198.04,     49.08,99.999,20
DB01,4409,01,2020-07-17 02:00:00,    198.08,     49.08,99.999,20
DB01,4409,01,2020-07-17 03:00:00,    198.12,     49.08,99.999,20
DB01,4409,01,2020-07-17 04:00:00,    198.17,     49.08,99.999,20
DB01,4409,01,2020-07-17 05:00:00,    198.21,     49.08,99.999,20
DB01,4409,01,2020-07-17 06:00:00,    198.25,     49.08,99.999,20
DB01,4409,01,2020-07-17 07:00:00,    198.29,     49.08,99.999,20
DB01,4409,01,2020-07-17 08:00:00,    198.33,     49.08,99.999,20
DB01,4409,01,2020-07-17 09:00:00,    198.38,     49.08,99.999,20
DB01,4409,01,2020-07-17 10:00:00,    198.42,     49.08,99.999,20
DB01,4409,01,2020-07-17 11:00:00,    198.46,     49.08,99.999,20
DB01,4409,01,2020-07-17 12:00:00,    198.50,     49.08,99.999,20
DB01,4409,01,2020-07-17 13:00:00,    198.54,     49.08,99.999,20
DB01,4409,01,2020-07-17 14:00:00,    198.58,     49.08,99.999,20
DB01,4409,01,2020-07-17 15:00:00,    198.62,     49.08,99.999,20
DB01,4409,01,2020-07-17 16:00:00,    198.67,     49.08,99.999,20
DB01,4409,01,2020-07-17 17:00:00,    198.71,     49.08,99.999,20
DB01,4409,01,2020-07-17 18:00:00,    198.75,     49.08,99.999,20
DB01,4409,01,2020-07-17 19:00:00,    198.79,     49.08,99.999,20
DB01,4409,01,2020-07-17 20:00:00,    198.83,     49.08,99.999,20
DB01,4409,01,2020-07-17 21:00:00,    198.88,     49.08,99.999,20
DB01,4409,01,2020-07-17 22:00:00,    198.92,     49.08,99.999,20
DB01,4409,01,2020-07-17 23:00:00,    198.96,     49.08,99.999,20
DB01,4409,01,2020-07-18 00:00:00,    199.00,     49.08,99.999,20
DB01,4409,01,2020-07-18 01:00:00,    199.04,     49.08,99.999,20
DB01,4409,01,2020-07-18 02:00:00,    199.08,     49.08,99.999,20
DB01,4409,01,2020-07-18 03:00:00,    199.12,     49.08,99.999,20
DB01,4409,01,2020-07-18 04:00:00,    199.17,     49.08,99.999,20
DB01,4409,01,2020-07-18 05:00:00,    199.21,     49.08,99.999,20
DB01,4409,01,2020-07-18 06:00:00,    199.25,     49.08,99.999,20
DB01,4409,01,2020-07-18 07:00:00,    199.29,     49.08,99.999,20
DB01,4409,01,2020-07-18 08:00:00,    199.33,     49.08,99.999,20
DB01,4409,01,2020-07-18 09:00:00,    199.38,     49.08,99.999,20
DB01,4409,01,2020-07-18 10:00:00,    199.42,     49.08,99.999,20
DB01,4409,01,2020-07-18 11:00:00,    199.46,     49.08,99.999,20
DB01,4409,01,2020-07-18 12:00:00,    199.50,     49.08,99.999,20
DB01,4409,01,2020-07-18 13:00:00,    199.54,     49.08,99.999,20
DB01,4409,01,2020-07-18 14:00:00,    199.58,     49.08,99.999,20
DB01,4409,01,2020-07-18 15:00:00,    199.62,     49.08,99.999,20
DB01,4409,01,2020-07-18 16:00:00,    199.67,     49.08,99.999,20
DB01,4409,01,2020-07-18 17:00:00,    199.71,     49.08,99.999,20
DB01,4409,01,2020-07-18 18:00:00,    199.75,     49.08,99.999,20
DB01,4409,01,2020-07-18 19:00:00,    199.79,     49.08,99.999,20
DB01,4409,01,2020-07-18 20:00:00,    199.83,     49.08,99.999,20
DB01,4409,01,2020-07-18 21:00:00,    199.88,     49.08,99.999,20
DB01,4409,01,2020-07-18 22:00:00,    199.92,     49.08,99.999,20
DB01,4409,01,2020-07-18 23:00:00,    199.96,     49.08,99.999,20
DB01,4409,01,2020-07-19 00:00:00,    200.00,     49.08,99.999,20
DB01,4409,01,2020-07-19 01:00:00,    200.04,     49.08,99.999,20
DB01,4409,01,2020-07-19 02:00:00,    200.08,     49.08,99.999,20
DB01,4409,01,2020-07-19 03:00:00,    200.12,     49.08,99.999,20
DB01,4409,01,2020-07-19 04:00:00,    200.17,     49.08,99.999,20
DB01,4409,01,2020-07-19 05:00:00,    200.21,     49.08,99.999,20
DB01,4409,01,2020-07-19 06:00:00,    200.25,     49.08,99.999,20
DB01,4409,01,2020-07-19 07:00:00,    200.29,     49.08,99.999,20
DB01,4409,01,2020-07-19 08:00:00,    200.33,     49.08,99.999,20
DB01,4409,01,2020-07-19 09:00:00,    200.38,     49.08,99.999,20
DB01,4409,01,2020-07-19 10:00:00,    200.42,     49.08,99.999,20
DB01,4409,01,2020-07-19 11:00:00,    200.46,     49.08,99.999,20
DB01,4409,01,2020-07-19 12:00:00,    200.50,     49.08,99.999,20
DB01,4409,01,2020-07-19 13:00:00,    200.54,     49.08,99.999,20
DB01,4409,01,2020-07-19 14:00:00,    200.58,     49.08,99.999,20
DB01,4409,01,2020-07-19 15:00:00,    200.62,     49.08,99.999,20
DB01,4409,01,2020-07-19 16:00:00,    200.67,     49.08,99.999,20
DB01,4409,01,2020-07-19 17:00:00,    200.71,     49.08,99.999,20
